1: water: V/L sat. T=5, to 370, C

                          Liquid       Vapor        Liquid       Vapor        Liquid       Vapor        Liquid       Vapor        Liquid       Vapor        
Temperature  Pressure     Density      Density      Enthalpy     Enthalpy     Entropy      Entropy      Therm. Cond. Therm. Cond. Viscosity    Viscosity    Surf. Tension
(C)          (kPa)        (kg/m^3)     (kg/m^3)     (kJ/kg)      (kJ/kg)      (kJ/kg-K)    (kJ/kg-K)    (W/m-K)      (W/m-K)      (uPa-s)      (uPa-s)      (N/m)
64,000       23,943       981,06       0,15480      267,93       2615,8       0,88125      7,8451       0,65808      0,021532     439,55       11,064       0,065541
64,500       24,487       980,79       0,15810      270,02       2616,6       0,88746      7,8373       0,65852      0,021576     436,38       11,080       0,065454
65,000       25,042       980,52       0,16146      272,12       2617,5       0,89365      7,8296       0,65896      0,021620     433,24       11,097       0,065366
65,500       25,607       980,25       0,16487      274,21       2618,4       0,89984      7,8219       0,65940      0,021664     430,15       11,113       0,065278
66,000       26,183       979,97       0,16835      276,30       2619,2       0,90602      7,8142       0,65983      0,021708     427,09       11,129       0,065190
66,500       26,770       979,70       0,17189      278,40       2620,1       0,91219      7,8066       0,66025      0,021753     424,06       11,146       0,065102
67,000       27,368       979,42       0,17549      280,49       2621,0       0,91835      7,7990       0,66067      0,021797     421,08       11,162       0,065013
67,500       27,978       979,14       0,17915      282,59       2621,8       0,92450      7,7914       0,66109      0,021842     418,12       11,178       0,064925
68,000       28,599       978,86       0,18288      284,68       2622,7       0,93064      7,7839       0,66150      0,021887     415,21       11,195       0,064836
68,500       29,232       978,58       0,18667      286,78       2623,5       0,93678      7,7764       0,66190      0,021932     412,32       11,211       0,064748
69,000       29,876       978,30       0,19052      288,87       2624,4       0,94291      7,7689       0,66230      0,021977     409,47       11,228       0,064659
69,500       30,532       978,02       0,19444      290,97       2625,2       0,94902      7,7614       0,66270      0,022022     406,66       11,244       0,064570
70,000       31,201       977,73       0,19843      293,07       2626,1       0,95513      7,7540       0,66309      0,022068     403,87       11,260       0,064481
70,500       31,882       977,45       0,20249      295,16       2627,0       0,96123      7,7466       0,66348      0,022114     401,12       11,277       0,064392
71,000       32,575       977,16       0,20661      297,26       2627,8       0,96733      7,7392       0,66386      0,022159     398,40       11,293       0,064302
71,500       33,281       976,87       0,21081      299,35       2628,7       0,97341      7,7319       0,66424      0,022205     395,71       11,310       0,064213
72,000       34,000       976,58       0,21507      301,45       2629,5       0,97949      7,7246       0,66461      0,022251     393,06       11,326       0,064123
72,500       34,732       976,29       0,21941      303,55       2630,4       0,98555      7,7173       0,66498      0,022298     390,43       11,343       0,064033
73,000       35,478       976,00       0,22382      305,64       2631,2       0,99161      7,7100       0,66535      0,022344     387,83       11,359       0,063944
73,500       36,236       975,70       0,22830      307,74       2632,1       0,99766      7,7028       0,66571      0,022391     385,26       11,376       0,063854
74,000       37,009       975,41       0,23285      309,84       2632,9       1,0037       7,6955       0,66606      0,022438     382,72       11,393       0,063764
74,500       37,795       975,11       0,23749      311,93       2633,8       1,0097       7,6884       0,66641      0,022484     380,21       11,409       0,063673
75,000       38,595       974,81       0,24219      314,03       2634,6       1,0158       7,6812       0,66676      0,022531     377,72       11,426       0,063583
75,500       39,410       974,52       0,24698      316,13       2635,4       1,0218       7,6741       0,66710      0,022579     375,27       11,442       0,063493
76,000       40,239       974,22       0,25184      318,22       2636,3       1,0278       7,6670       0,66744      0,022626     372,84       11,459       0,063402
76,500       41,082       973,91       0,25678      320,32       2637,1       1,0338       7,6599       0,66777      0,022674     370,43       11,476       0,063311
77,000       41,941       973,61       0,26180      322,42       2638,0       1,0398       7,6528       0,66810      0,022721     368,06       11,492       0,063220
